Unique_ID,Subregion,E/I,"Axonal-dendritic pattern (ax=1, de=2)",p,Projection patterning,Hippocampome neuronal  class,Neurite,Neurite_ID,Total_length (micron),%_of_neurite_tree,Density,Avg_max_path_length (micron),Avg_mean_path_length (micron),Reference_ID
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SR:D,41,8039.7560476025,40.6089933335,0.0396552504,326.6666666667,,800012
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SLM:D,38,6254.1627668267,31.5899204654,0.0340488219,659.5744680851,,800012
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SO:D,47,17911.6951805455,49.4042645865,0.080519328,221.9347319347,,800014
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SO:A,46,3491.0922945026,89.0084550346,0.0156936796,317.1818181818,,800014
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SP:D,44,1655.6058017251,4.5665128987,0.0477591605,100.8811188811,,800014
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SP:A,43,431.1107064887,10.9915449654,0.0062181122,,,800014
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SR:D,41,14683.3894821892,40.499910907,0.0893598674,407.0163170163,,800014
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SLM:D,38,2004.6719631728,5.5293116078,0.0292009268,546.8764568765,,800014
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA1:SO:D,62,603.283850275,0.6396908273,0.0135989976,,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SO:D,47,11811.8910801713,12.5247151459,0.0742617127,215.0943396226,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SO:A,46,16982.7793087533,47.8732754997,0.0854169934,867.3270440252,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SP:D,44,725.9741613984,0.769785254,0.0242659054,62.8616352201,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SP:A,43,896.1137641164,2.5260824703,0.0149764365,115.4402515723,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SR:D,41,74345.6589279247,78.8322711484,0.6541636403,376.572327044,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SR:A,40,6857.1004824518,19.3296900676,0.026815678,653.5534591195,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SLM:D,38,6821.8524372672,7.2335376244,0.0847846013,511.6352201258,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA3:SO:A,31,9028.9223434419,25.4519050713,0.0473102086,,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA3:SP:A,28,206.0654949254,0.5808843199,0.0042177701,,,800016
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA3:SR:A,22,1503.4646965281,4.2381625712,0.0066636623,,,800016
3006,CA2,I,2232,,,CA2 Basket,CA2:SO:D,47,8364.4748256791,34.5822872147,0.0482725779,302.9301075269,,800018
3006,CA2,I,2232,,,CA2 Basket,CA2:SO:A,46,21023.9866397305,20.268740317,0.0727994564,405.0403225806,,800018
3006,CA2,I,2232,,,CA2 Basket,CA2:SP:D,44,1314.1923149413,5.4334285221,0.0177474047,85.1612903226,,800018
3006,CA2,I,2232,,,CA2 Basket,CA2:SP:A,43,63992.8989194325,61.6940769872,0.4320934843,464.3279569892,,800018
3006,CA2,I,2232,,,CA2 Basket,CA2:SR:D,41,9204.4453634828,38.055081741,0.0352568086,350.8602150538,,800018
3006,CA2,I,2232,,,CA2 Basket,CA2:SR:A,40,18709.2775418093,18.0371826957,0.0429985333,227.4516129032,,800018
3006,CA2,I,2232,,,CA2 Basket,CA2:SLM:D,38,5304.052369509,21.9292025222,0.0445564218,473.3333333333,,800018
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA1:SO:A,61,447.9153861223,0.3373763821,0.0307203998,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA1:SP:D,59,122.3757604721,0.5277016264,0.0216897519,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA1:SP:A,58,1423.3197192488,1.0720651094,0.15136062,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA1:SR:A,55,266.7808330621,0.2009432028,0.0302189331,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SO:D,47,7552.3685441264,32.5668837431,0.069788232,787.868852459,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SO:A,46,11121.452153789,8.376839482,0.0616611712,426.2659380692,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SP:D,44,1982.6380906058,8.5494164942,0.0326295982,180.14571949,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SP:A,43,50139.7195199254,37.7659658365,0.4951096958,578.3606557377,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SR:D,41,4685.2075030856,20.2032789017,0.0593846546,381.2021857924,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SR:A,40,26121.0683800346,19.6747685368,0.1986495525,721.0564663024,,800020
