UniqueIDs,Names,Abbreviations,EorI,DG:SMo,DG:SMi,DG:SG,DG:H,CA3:SLM,CA3:SR,CA3:SL,CA3:SP,CA3:SO,CA2:SLM,CA2:SR,CA2:SP,CA2:SO,CA1:SLM,CA1:SR,CA1:SP,CA1:SO,Sub:SM,Sub:SP,Sub:PL,EC:I,EC:II,EC:III,EC:IV,EC:V,EC:VI
4083,CA1 Oriens-Bistratified,CA1 O-Bistrat,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
4068,CA1 O-Bistrat Projecting,CA1 O-Bistrat Proj,I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,0,0,0,0,0,0
4066,CA1 OR-LM,CA1 OR-LM,I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
4006,CA1 Perforant Path-Assoc,CA1 PPA,I,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0
4076,CA1 PPA QuadD,CA1 PPA QuadD,I,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0
4003,CA1 Quadrilaminar,CA1 Quadrilam,I,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
4028,CA1 Radiatum,CA1 R,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4061,CA1 R-Recv Apical-Target,CA1 R-Recv Apical-Target,I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
4015,Schaffer Collateral-Assoc,SCA,I,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0
4084,SCR R-Targeting,SCR R-Target,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0
4033,CA1 SO-SO,CA1 SO-SO,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4041,CA1 Hipp-SUB Proj ENK+,CA1 Hipp-SUB Proj ENK+,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,0,0,0,0,0,0
4035,CA1 Trilaminar,CA1 Trilam,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0
4013,CA1 Radial Trilaminar,CA1 Radial Trilam,I,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0,0,0,0
5001,SUB EC-Proj Pyramidal,SUB PC-EC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,1,1
5005,SUB CA1-Proj Pyramidal,SUB PC-CA1,E,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,0,0,0,0,0,0
